Rk,Player,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Johnny Juzang,26,25,31.8,5.7,13.3,0.429,3.7,7.5,0.492,2,5.8,0.347,2.1,2.3,0.902,0.8,3.2,4,1.6,0.7,0.3,1.5,1.8,15.5
2,Chris Smith,8,8,28,4,9.1,0.438,2.8,6.6,0.415,1.3,2.5,0.5,3.4,4.3,0.794,1.6,4.8,6.4,2,0.9,0.5,2.5,2.4,12.6
3,Jaime Jaquez,31,31,34.8,4.4,9,0.486,3.3,6.2,0.529,1.1,2.9,0.393,2.2,3.4,0.651,1.9,4.2,6.1,1.6,1.2,0.7,1.2,2.3,12.1
4,Jules Bernard,31,27,29.6,3.5,8.1,0.438,2.4,5.1,0.465,1.2,3,0.394,2.2,2.9,0.744,1.5,3.7,5.2,1.6,0.5,0.2,1.3,2.1,10.5
5,Tyger Campbell,31,31,33.6,3.9,9.2,0.425,3.4,7,0.481,0.5,2.2,0.246,1.8,2.4,0.77,0.3,1.8,2.1,5.3,1.1,0,1.9,2,10.2
6,Cody Riley,30,30,22.7,3.8,7,0.541,3.8,6.9,0.546,0,0.1,0,2.3,3.4,0.67,1.5,3.7,5.2,1.2,0.4,0.7,2.1,3.1,9.8
7,Jalen Hill,15,0,17.4,2,3.6,0.556,2,3.6,0.556,0,0,,2.1,3.1,0.674,1.7,3.7,5.5,1.1,0.1,1,1.1,1.5,6.1
8,David Singleton,31,1,16.6,1.6,3.6,0.446,0.4,0.9,0.379,1.3,2.7,0.47,0.3,0.4,0.692,0.1,1.6,1.6,0.6,0.4,0,0.4,0.9,4.8
9,Jake Kyman,30,0,10.7,1.2,3.2,0.385,0.6,1.5,0.432,0.6,1.7,0.346,0.1,0.1,0.667,0.1,0.9,1,0.5,0.3,0,0.3,0.7,3.1
10,Mac Etienne,13,1,11.2,1.2,1.9,0.6,1.2,1.9,0.6,0,0,,0.3,0.9,0.333,0.9,1.9,2.8,0.2,0.2,0.2,0.6,1,2.6
11,Jaylen Clark,30,0,9,1,1.9,0.5,0.9,1.6,0.563,0.1,0.3,0.2,0.5,0.7,0.75,1,1.4,2.4,0.2,0.1,0.2,0.4,1,2.5
12,Kenneth Nwuba,17,1,6.3,0.1,0.4,0.143,0.1,0.4,0.143,0,0,,0,0.1,0,0.5,0.5,1,0,0.1,0.2,0.3,1.4,0.1
13,Logan Cremonesi,5,0,0.8,0,0.2,0,0,0.2,0,0,0,,0,0.4,0,0,0.2,0.2,0,0,0,0,0.2,0
14,Russell Stong,5,0,1,0,0,,0,0,,0,0,,0,0,,0,0.2,0.2,0.2,0,0,0,0,0